addItemToCart(CartActionBean),Calls,containsItemId(Cart)
addItemToCart(CartActionBean),Calls,incrementQuantityByItemId(Cart)
addItemToCart(CartActionBean),Calls,isItemInStock(CatalogService)
addItemToCart(CartActionBean),Calls,getItem(CatalogService)
addItemToCart(CartActionBean),Calls,addItem(Cart)
removeItemFromCart(CartActionBean),Calls,removeItemById(Cart)
removeItemFromCart(CartActionBean),Calls,setMessage(CartActionBean)
updateCartQuantities(CartActionBean),Calls,getCart(CartActionBean)
updateCartQuantities(CartActionBean),Calls,getCart(CartActionBean)
getOrderId(OrderActionBean),Calls,getOrderId(Order)
setOrderId(OrderActionBean),Calls,setOrderId(Order)
listOrders(OrderActionBean),Calls,getOrdersByUsername(OrderService)
newOrderForm(OrderActionBean),Calls,clear(OrderActionBean)
newOrderForm(OrderActionBean),Calls,setMessage(OrderActionBean)
newOrderForm(OrderActionBean),Calls,initOrder(Order)
newOrderForm(OrderActionBean),Calls,setMessage(OrderActionBean)
newOrder(OrderActionBean),Calls,isConfirmed(OrderActionBean)
newOrder(OrderActionBean),Calls,getOrder(OrderActionBean)
newOrder(OrderActionBean),Calls,insertOrder(OrderService)
newOrder(OrderActionBean),Calls,setMessage(OrderActionBean)
newOrder(OrderActionBean),Calls,setMessage(OrderActionBean)
viewOrder(OrderActionBean),Calls,getOrder(OrderService)
viewOrder(OrderActionBean),Calls,getOrderId(Order)
viewOrder(OrderActionBean),Calls,setMessage(OrderActionBean)
viewCategory(CatalogActionBean),Calls,getProductListByCategory(CatalogService)
viewCategory(CatalogActionBean),Calls,getCategory(CatalogService)
viewProduct(CatalogActionBean),Calls,getItemListByProduct(CatalogService)
viewProduct(CatalogActionBean),Calls,getProduct(CatalogService)
viewItem(CatalogActionBean),Calls,getItem(CatalogService)
viewItem(CatalogActionBean),Calls,getProduct(Item)
searchProducts(CatalogActionBean),Calls,setMessage(CatalogActionBean)
searchProducts(CatalogActionBean),Calls,searchProductList(CatalogService)
getUsername(AccountActionBean),Calls,getUsername(Account)
setUsername(AccountActionBean),Calls,setUsername(Account)
getPassword(AccountActionBean),Calls,getPassword(Account)
setPassword(AccountActionBean),Calls,setPassword(Account)
newAccount(AccountActionBean),Calls,insertAccount(AccountService)
newAccount(AccountActionBean),Calls,getAccount(AccountService)
newAccount(AccountActionBean),Calls,getUsername(Account)
newAccount(AccountActionBean),Calls,getProductListByCategory(CatalogService)
newAccount(AccountActionBean),Calls,getFavouriteCategoryId(Account)
editAccount(AccountActionBean),Calls,updateAccount(AccountService)
editAccount(AccountActionBean),Calls,getAccount(AccountService)
editAccount(AccountActionBean),Calls,getUsername(Account)
editAccount(AccountActionBean),Calls,getProductListByCategory(CatalogService)
editAccount(AccountActionBean),Calls,getFavouriteCategoryId(Account)
signon(AccountActionBean),Calls,getAccount(AccountService)
signon(AccountActionBean),Calls,getUsername(AccountActionBean)
signon(AccountActionBean),Calls,getPassword(AccountActionBean)
signon(AccountActionBean),Calls,setMessage(AccountActionBean)
signon(AccountActionBean),Calls,clear(AccountActionBean)
signon(AccountActionBean),Calls,setPassword(Account)
signon(AccountActionBean),Calls,getProductListByCategory(CatalogService)
signon(AccountActionBean),Calls,getFavouriteCategoryId(Account)
signoff(AccountActionBean),Calls,clear(AccountActionBean)
isAuthenticated(AccountActionBean),Calls,getUsername(Account)
getAccount(AccountService),Calls,getAccountByUsernameAndPassword(AccountMapper)
insertAccount(AccountService),Calls,insertAccount(AccountMapper)
insertAccount(AccountService),Calls,insertProfile(AccountMapper)
insertAccount(AccountService),Calls,insertSignon(AccountMapper)
updateAccount(AccountService),Calls,updateAccount(AccountMapper)
updateAccount(AccountService),Calls,updateProfile(AccountMapper)
insertOrder(OrderService),Calls,getNextId(OrderService)
insertOrder(OrderService),Calls,insertOrder(OrderMapper)
insertOrder(OrderService),Calls,insertOrderStatus(OrderMapper)
getOrder(OrderService),Calls,getOrder(OrderMapper)
getOrder(OrderService),Calls,getLineItemsByOrderId(LineItemMapper)
getOrdersByUsername(OrderService),Calls,getOrdersByUsername(OrderMapper)
getNextId(OrderService),Calls,getSequence(SequenceMapper)
getNextId(OrderService),Calls,updateSequence(SequenceMapper)
getCategoryList(CatalogService),Calls,getCategoryList(CategoryMapper)
getCategory(CatalogService),Calls,getCategory(CategoryMapper)
getProduct(CatalogService),Calls,getProduct(ProductMapper)
getProductListByCategory(CatalogService),Calls,getProductListByCategory(ProductMapper)
searchProductList(CatalogService),Calls,searchProductList(ProductMapper)
getItemListByProduct(CatalogService),Calls,getItemListByProduct(ItemMapper)
getItem(CatalogService),Calls,getItem(ItemMapper)
isItemInStock(CatalogService),Calls,getInventoryQuantity(ItemMapper)
getCategoryList(CategoryMapper),Persists,Category
getCategory(CategoryMapper),Persists,Category
getLineItemsByOrderId(LineItemMapper),Persists,LineItem
insertLineItem(LineItemMapper),Persists,LineItem
getItemListByProduct(ItemMapper),Persists,Item
getItem(ItemMapper),Persists,Item
getOrdersByUsername(OrderMapper),Persists,Order
getOrder(OrderMapper),Persists,Order
insertOrder(OrderMapper),Persists,Order
insertOrderStatus(OrderMapper),Persists,Order
getAccountByUsername(AccountMapper),Persists,Account
getAccountByUsernameAndPassword(AccountMapper),Persists,Account
insertAccount(AccountMapper),Persists,Account
insertProfile(AccountMapper),Persists,Account
insertSignon(AccountMapper),Persists,Account
updateAccount(AccountMapper),Persists,Account
updateProfile(AccountMapper),Persists,Account
updateSignon(AccountMapper),Persists,Account
getSequence(SequenceMapper),Persists,Sequence
updateSequence(SequenceMapper),Persists,Sequence
getProductListByCategory(ProductMapper),Persists,Product
getProduct(ProductMapper),Persists,Product
searchProductList(ProductMapper),Persists,Product
getCart(CartActionBean),Uses,Cart
setCart(CartActionBean),Uses,Cart
addItemToCart(CartActionBean),Uses,Item
removeItemFromCart(CartActionBean),Uses,Item
updateCartQuantities(CartActionBean),Uses,CartItem
clear(CartActionBean),Uses,Cart
getOrder(OrderActionBean),Uses,Order
setOrder(OrderActionBean),Uses,Order
getOrderList(OrderActionBean),Uses,Order
listOrders(OrderActionBean),Uses,AccountActionBean
newOrderForm(OrderActionBean),Uses,AccountActionBean
newOrderForm(OrderActionBean),Uses,CartActionBean
newOrder(OrderActionBean),Uses,CartActionBean
viewOrder(OrderActionBean),Uses,AccountActionBean
clear(OrderActionBean),Uses,Order
getCategory(CatalogActionBean),Uses,Category
setCategory(CatalogActionBean),Uses,Category
getProduct(CatalogActionBean),Uses,Product
setProduct(CatalogActionBean),Uses,Product
getItem(CatalogActionBean),Uses,Item
setItem(CatalogActionBean),Uses,Item
getCategoryList(CatalogActionBean),Uses,Category
setCategoryList(CatalogActionBean),Uses,Category
getProductList(CatalogActionBean),Uses,Product
setProductList(CatalogActionBean),Uses,Product
getItemList(CatalogActionBean),Uses,Item
setItemList(CatalogActionBean),Uses,Item
getAccount(AccountActionBean),Uses,Account
getMyList(AccountActionBean),Uses,Product
setMyList(AccountActionBean),Uses,Product
newAccount(AccountActionBean),Uses,CatalogActionBean
editAccount(AccountActionBean),Uses,CatalogActionBean
signon(AccountActionBean),Uses,CatalogActionBean
signoff(AccountActionBean),Uses,CatalogActionBean
clear(AccountActionBean),Uses,Account
getAccount(AccountService),Uses,Account
insertAccount(AccountService),Uses,Account
updateAccount(AccountService),Uses,Account
insertOrder(OrderService),Uses,Order
getOrder(OrderService),Uses,Order
getOrdersByUsername(OrderService),Uses,Order
getNextId(OrderService),Uses,Sequence
getCategoryList(CatalogService),Uses,Category
getCategory(CatalogService),Uses,Category
getProduct(CatalogService),Uses,Product
getProductListByCategory(CatalogService),Uses,Product
searchProductList(CatalogService),Uses,Product
getItemListByProduct(CatalogService),Uses,Item
getItem(CatalogService),Uses,Item
Order,References,LineItem
LineItem,References,Item
CartItem,References,Item
Cart,References,CartItem
Cart,References,CartItem
Item,References,Product
